gold_label,sequence,attention_mask,token_type
contradiction,"[CLS] christopher hitch ##ens [SEP] christopher eric hitch ##ens has contributed to such works as "" new states ##men "" , "" the nation "" , and "" the atlantic "" , among others , while also being being associated with d ##yst ##ele ##ology . [SEP] [ par ] [ t ##le ] christopher hitch ##ens [SEP] christopher eric hitch ##ens ( 13 april 1949 – 15 december 2011 ) was an anglo - american author , columnist , essay ##ist , or ##ator , religious and literary critic , social critic , and journalist . hitch ##ens was the author , co - author , editor or co - editor of over 30 books , including five collections of essays , on politics , literature and religion . a staple of public discourse , his confrontation ##al style of debate made him both a lauded intellectual and a controversial public figure . he contributed to "" new statesman "" , "" the nation "" , "" the weekly standard "" , "" the atlantic "" , "" london review of books "" , "" the times literary supplement "" , "" slate "" , "" free inquiry "" and "" vanity fair "" . [ par ] [ t ##le ] d ##yst ##ele ##ology [SEP] d ##yst ##ele ##ology is the philosophical view that existence has no "" tel ##os "" or final cause from purpose ##ful design . the term "" d ##yst ##ele ##ology "" is a modern word invented and [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] the teams owned by myra kraft ' s husband play in gill ##ette stadium . [SEP] [ par ] [ t ##le ] robert kraft [SEP] robert kenneth kraft ( born june 5 , 1941 ) is an american businessman . he is the chairman and chief executive officer of the kraft group , a diversified holding company with assets in paper and packaging , sports and entertainment , real estate development and a private equity portfolio . his sports holdings include : the national football league ' s new england patriots , major league soccer ' s new england revolution and the stadium in which both teams play , gill ##ette stadium . [ par ] [ t ##le ] myra kraft [SEP] myra hi ##att kraft ( "" nee "" myra nat ##hal ##ie hi ##att ; december 27 , 1942 – july 20 , 2011 ) was an american philanthropist and the wife of new england patriots and new england revolution owner robert kraft . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] according to the 2006 census the population of the city in which james ir ##oh ##a uc ##he ##chuk ##wu was born is 72 ##2 , 66 ##4 . [SEP] [ par ] [ t ##le ] uc ##he james - ir ##oh ##a [SEP] james ir ##oh ##a uc ##he ##chuk ##wu is a nigerian photographer . he was born in 1972 in en ##ug ##u . for of his photographic approach , his support to young photographers and the passing of his knowledge , he is regarded at the beginning of the 21st century as someone that has broad ##ened the horizon of nigerian photography . [ par ] [ t ##le ] en ##ug ##u [SEP] en ##ug ##u ( ; i ##gb ##o : en ##ug ##wu ) is the capital of en ##ug ##u state in nigeria . it is located in southeastern nigeria . the city had a population of 72 ##2 , 66 ##4 according to the 2006 nigerian census . the name "" en ##ug ##u "" is derived from the two i ##gb ##o words "" en ##u u ##g ##wu "" meaning "" hill top "" den ##oting the city ' s hilly geography . the city was named after en ##ug ##wu ng ##wo , under which coal was found . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] the winner of the 2016 mar ##rak ##esh ep ##rix was born in 1988 . [SEP] [ par ] [ t ##le ] 2016 mar ##rak ##esh ep ##rix [SEP] the 2016 mar ##rak ##esh ep ##rix ( formally the 2016 fia formula e mar ##rak ##esh ep ##rix ) was a formula e motor race held on 12 november 2016 at the circuit mo ##ula ##y el hassan in mar ##rak ##esh , morocco in front of a crowd of 7 , 000 people . it was the second round of the 2016 – 17 formula e season and the first time the series had visited the african continent . the 33 - lap race was won by e . dams - renault driver sebastien bu ##emi , who started from the seventh position . sam bird finished second for the virgin team and ma ##hin ##dra driver felix rosen ##qvist came in third . [ par ] [ t ##le ] sebastien bu ##emi [SEP] sebastien olivier bu ##emi ( born 31 october 1988 ) is a swiss professional racing driver , who formerly competed for sc ##uder ##ia toro ross ##o in formula one . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] sw ##oo ##sie kurt ##z , an emmy award winner and two - time tony award winner , was on the episode 15 of the third season of "" chuck "" . [SEP] [ par ] [ t ##le ] chuck versus the role models [SEP] "" chuck versus the role models "" is episode 15 of the third season of "" chuck "" . chuck and sarah are assigned to train under craig and laura turner ( fred willard and sw ##oo ##sie kurt ##z ) , a married cia team who , despite their imp ##ec ##cable record , hate one another . the turner ##s ' stormy relationship forces chuck and sarah to wonder if they ' re doomed with the same fate . meanwhile , casey must train the newest member of the team - morgan . [ par ] [ t ##le ] sw ##oo ##sie kurt ##z [SEP] sw ##oo ##sie kurt ##z ( , ; born september 6 , 1944 ) is an american actress . she is an emmy award winner and two - time tony award winner . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] the swedish - british entertainment studio executive and film executive producer , who was the executive producer for a 2016 american action thriller film directed by baba ##k na ##ja ##fi , currently serves . [SEP] [ par ] [ t ##le ] london has fallen [SEP] london has fallen is a 2016 american action thriller film directed by baba ##k na ##ja ##fi and written by cr ##ei ##ghton roth ##enberg ##er , kat ##rin ben ##ed ##ik ##t , chad st . john and christian gu ##de ##gas ##t . it is a sequel to antoine fu ##qua ' s 2013 film "" olympus has fallen "" and stars gerard butler , aaron ec ##khar ##t and morgan freeman , with al ##on mon ##i about ##bo ##ul , angela bassett , robert forster , jackie earle haley , melissa leo , radha mitchell , sean o ' bryan , wal ##eed zu ##ai ##ter and charlotte riley in supporting roles . it is the second installment in the "" has fallen "" film series . [ par ] [ t ##le ] z ##y ##gi kam ##asa [SEP] z ##y ##gi kam ##asa ( born 12 november 1969 ) is a swedish - british entertainment studio executive and film executive producer . he currently serves as ceo of lions ##gate uk & europe and was the executive producer for brooklyn , [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] the current name of the atlanta mansion built for the daughter of the 41st mayor of atlanta , georgia is lu ##ll ##water estate . [SEP] [ par ] [ t ##le ] asa gr ##ig ##gs candle ##r [SEP] asa gr ##ig ##gs candle ##r ( december 30 , 1851 – march 12 , 1929 ) was an american business ty ##co ##on who founded the coca - cola company . he also served as the 41st mayor of atlanta , georgia from 1916 to 1919 . candle ##r field , the site of the present - day hart ##sfield - jackson atlanta international airport , was named after him , as is candle ##r park in atlanta . [ par ] [ t ##le ] rainbow terrace [SEP] rainbow terrace , now known as lu ##ll ##water estate , is the mediterranean - style atlanta mansion built for lucy bea ##ll candle ##r owens heinz ( 1882 – 1962 ) , daughter of coca - cola co - founder asa gr ##ig ##gs candle ##r . the architect was g . lloyd preacher , the architect of atlanta city hall . it is located at what is now 1610 ponce de leon avenue in the dr ##uid hills historic district . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] sum ##erian ##s invented the type of script used in auto ##graphs . [SEP] [ par ] [ t ##le ] auto ##graph ( ass ##yr ##iology ) [SEP] an auto ##graph in ass ##yr ##iology is the hand - copy of a cu ##ne ##iform clay - tablet . producing an auto ##graph is often the first step of a tablet ' s archaeological interpretation and the auto ##graph is frequently the authoritative form that is published as source material . auto ##graph ##ing the text is followed by translit ##eration , transcription and translation . [ par ] [ t ##le ] cu ##ne ##iform script [SEP] cu ##ne ##iform script ( or or ) , one of the earliest systems of writing , was invented by the sum ##erian ##s . it is distinguished by its wedge - shaped marks on clay tablets , made by means of a blunt reed for a st ##ylus . the name "" cu ##ne ##iform "" itself simply means "" wedge shaped "" . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
contradiction,"[CLS] racer x covered blue y ##ster cult ' s godzilla . [SEP] [ par ] [ t ##le ] fu manchu ( band ) [SEP] fu manchu is an american , southern california - based stone ##r rock band that formed in 1985 . [ par ] [ t ##le ] godzilla ( song ) [SEP] "" godzilla "" is a song by blue oyster cult from their fifth album , "" spec ##tres "" . the lyrics are a tongue - in - cheek tribute to the popular movie monster of the same name . the song is , along with "" ( don ' t fear ) the reaper "" and "" burn ##in ' for you "" , one of blue oyster cult ' s best known songs and has become a staple of their live performances . it has been covered by bands such as racer x , fu manchu , the smashing pumpkin ##s , sebastian bach and fighting gravity . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] prince william , duke of gloucester and prince george of denmark were eventually monarchs of great britain . [SEP] [ par ] [ t ##le ] prince william , duke of gloucester [SEP] prince william , duke of gloucester ( 24 july 1689 – 30 july 1700 ) was the son of princess anne , later queen of england , ireland and scotland from 1702 , and her husband , prince george , duke of cumberland . he was their only child to survive infancy . styled duke of gloucester , he was viewed by contemporaries as a protestant champion because his birth seemed to cement the protestant succession established in the "" glorious revolution "" that had deposed his catholic grandfather james ii the previous year . [ par ] [ t ##le ] prince george of denmark [SEP] prince george of denmark and norway , duke of cumberland ( danish : "" j ##ø ##rgen "" ; 2 april 1653 ##28 october 1708 ) , was the husband of queen anne , who reigned over great britain from 1702 . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
entailment,"[CLS] the airline operating in white ##horse , yukon handled 294 , 000 passengers in 2012 . [SEP] [ par ] [ t ##le ] air north [SEP] air north charter and training ltd . , operating as air north , yukon ' s airline is a canadian airline based in white ##horse , yukon . it operates scheduled passenger and cargo flights , charter flights , and ground handling services throughout the yukon , with regular flights to the northwest territories , alaska , british columbia , alberta , and ontario . its main base is erik nielsen white ##horse international airport . [ par ] [ t ##le ] erik nielsen white ##horse international airport [SEP] erik nielsen white ##horse international airport ( iata : y ##xy , icao : cy ##xy ) is located in white ##horse , yukon , canada . it is part of the national airports system , and is owned and operated by the government of yukon . the airport was renamed in honour of longtime yukon member of parliament erik nielsen on december 15 , 2008 . the terminal handled 294 , 000 passengers in [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
